country_region,province_state,confirmed,deaths,peak_confirmed,peak_deaths,start_date,days,avg_confirmed,avg_deaths,c_thisweek,d_thisweek,after_peak,after_min,after_expeak,c_maxweek,d_maxweek,c_minweek,c_beforemax,death_rate,c_thisweek/avg,d_thisweek/avg,c_thisweek/maxweek,d_thisweek/maxweek,c_thisweek/beforemax
Afghanistan,-,20342,357,915.0,30.0,2020-02-24,73,277.36986301369865,4.835616438356165,727.125,13.5,3,69,16,741.625,13.5,16.0,493.125,0.017549896765313145,2.621499654286843,2.791784702549575,0.9804483397943705,1.0,1.4745247148288974
Albania,-,1246,34,34.0,4.0,2020-03-09,77,15.025974025974026,0.4155844155844156,15.5,0.125,44,20,65,21.625,1.375,9.625,18.375,0.027287319422150885,1.0315471045808124,0.30078125,0.7167630057803468,0.09090909090909091,0.8435374149659864
Algeria,-,10154,707,199.0,30.0,2020-02-25,79,127.39240506329114,8.810126582278482,110.875,7.625,40,77,22,129.625,22.125,46.666666666666664,182.625,0.06962773291313767,0.8703423092209858,0.8654813218390803,0.8553519768563163,0.3446327683615819,0.6071184120465435
Andorra,-,852,51,79.0,4.0,2020-03-02,78,9.794871794871796,0.6538461538461539,11.0,0.0,6,4,73,10.125,1.375,11.125,29.833333333333332,0.05985915492957746,1.1230366492146595,0.0,1.0864197530864197,0.0,0.3687150837988827
Argentina,-,22794,664,983.0,25.0,2020-03-03,80,283.7125,8.2625,822.5,17.0,2,79,11,825.125,13.5,30.5,677.375,0.029130472931473195,2.8990615499845798,2.0574886535552195,0.9968186638388123,1.2592592592592593,1.2142461708802361
Armenia,-,13130,200,766.0,19.0,2020-03-01,81,161.06172839506172,2.4691358024691357,525.375,9.125,1,63,10,525.375,8.875,51.125,383.75,0.015232292460015232,3.2619481066993714,3.695625,1.0,1.028169014084507,1.3690553745928338
Australia,Australian Capital Territory,108,3,3.0,1.0,2020-03-13,60,0.16666666666666666,0.016666666666666666,0.125,0.0,59,2,49,2.0,0.14285714285714285,0.125,0.25,0.027777777777777776,0.75,0.0,0.0625,0.0,0.5
Australia,New South Wales,3112,48,241.0,5.0,2020-01-26,86,35.18604651162791,0.5348837209302325,2.25,0.0,70,12,79,170.375,1.625,1.5,43.0,0.015424164524421594,0.06394580304031725,0.0,0.013206162876008804,0.0,0.05232558139534884
Australia,Queensland,1062,6,78.0,2.0,2020-01-29,81,12.037037037037036,0.08641975308641975,0.5,0.0,76,1,67,50.5,0.5,0.5,49.0,0.005649717514124294,0.04153846153846154,0.0,0.009900990099009901,0.0,0.01020408163265306
Australia,South Australia,440,4,65.0,1.0,2020-02-01,78,4.782051282051282,0.05128205128205128,0.0,0.0,74,13,65,33.6,0.5,0.125,18.75,0.00909090909090909,0.0,0.0,0.0,0.0,0.0
Australia,Tasmania,228,13,21.0,1.0,2020-03-02,60,2.1666666666666665,0.16666666666666666,0.0,0.0,55,24,43,11.166666666666666,0.75,0.125,3.0,0.05701754385964912,0.0,0.0,0.0,0.0,0.0
Australia,Victoria,1687,19,126.0,3.0,2020-01-26,82,19.426829268292682,0.23170731707317074,4.75,0.0,78,31,69,52.2,0.375,13.0,70.25,0.011262596324836989,0.24450721908349027,0.0,0.09099616858237547,0.0,0.06761565836298933
Australia,Western Australia,599,9,56.0,2.0,2020-02-29,78,6.538461538461538,0.10256410256410256,1.625,0.0,74,6,65,28.2,0.5,3.5,25.625,0.015025041736227046,0.2485294117647059,0.0,0.057624113475177305,0.0,0.06341463414634146
Austria,-,16902,672,1321.0,30.0,2020-02-25,92,182.8586956521739,7.304347826086956,27.125,0.5,74,7,62,657.875,18.125,28.75,377.625,0.0397586084487043,0.14833858408131725,0.06845238095238096,0.04123123693710811,0.027586206896551724,0.07183051969546508
Azerbaijan,-,7553,88,379.0,5.0,2020-03-01,74,100.8108108108108,1.162162162162162,288.375,3.375,2,72,11,281.25,3.0,29.666666666666668,141.0,0.011650999602806831,2.8605563002680965,2.9040697674418605,1.0253333333333334,1.125,2.0452127659574466
Bahamas,-,103,11,3.0,0.0,2020-03-16,16,0.375,0.0,0.125,0.0,16,2,2,3.0,0.0,0.125,0.125,0.10679611650485436,0.3333333333333333,0.0,0.041666666666666664,0.0,1.0
Bahrain,-,14763,26,605.0,2.0,2020-02-24,90,162.9777777777778,0.28888888888888886,496.25,1.125,8,68,24,324.5,1.125,22.125,298.0,0.001761159655896498,3.0448936460321785,3.8942307692307696,1.529275808936826,1.0,1.6652684563758389
Bangladesh,-,65769,888,2911.0,42.0,2020-03-08,63,1042.5555555555557,13.952380952380953,2645.125,34.75,6,63,16,2107.5,34.75,35.0,1501.625,0.013501801760707931,2.537154961099861,2.49061433447099,1.2551008303677342,1.0,1.7615083659369017
Belarus,-,48630,269,1485.0,7.0,2020-02-28,70,693.3714285714286,3.842857142857143,871.5,5.0,49,68,40,460.75,4.875,23.0,807.25,0.005531564877647542,1.2569020932915773,1.3011152416356877,1.8914812805208898,1.0256410256410255,1.0795912047073397
Belgium,-,59226,9595,2454.0,496.0,2020-02-04,94,629.531914893617,102.07446808510639,130.0,17.75,54,90,72,1422.375,251.0,43.4,859.625,0.162006551176848,0.20650263620386644,0.17389265242313703,0.09139643202390368,0.07071713147410359,0.15122873345935728
Benin,-,261,3,102.0,1.0,2020-03-16,32,11.6875,0.03125,4.625,0.0,31,6,15,73.0,0.125,6.625,7.625,0.011494252873563218,0.39572192513368987,0.0,0.06335616438356165,0.0,0.6065573770491803
Bolivia,-,13643,465,861.0,33.0,2020-03-11,69,196.31884057971016,6.681159420289855,506.375,19.375,9,59,19,501.625,14.375,18.125,244.375,0.03408341273913362,2.579349992617747,2.899945770065076,1.0094692250186892,1.3478260869565217,2.0721227621483376
Bosnia and Herzegovina,-,2606,159,92.0,8.0,2020-03-05,78,32.217948717948715,2.0256410256410255,14.0,0.75,40,14,62,41.875,3.625,14.5,49.5,0.06101304681504221,0.4345403899721449,0.37025316455696206,0.33432835820895523,0.20689655172413793,0.2828282828282828
Brazil,-,691758,36455,33274.0,1473.0,2020-02-26,87,7950.64367816092,419.02298850574715,24164.75,952.625,9,85,19,20943.75,1052.875,36.666666666666664,14170.625,0.05269906528005459,3.039345111940622,2.2734432862433134,1.1537928976424947,0.9047845185800784,1.7052705861597495
Brunei,-,141,2,13.0,1.0,2020-03-09,76,0.6578947368421053,0.02631578947368421,0.0,0.0,76,33,67,13.0,0.125,0.125,3.0,0.014184397163120567,0.0,0.0,0.0,0.0,0.0
Bulgaria,-,2727,160,137.0,12.0,2020-03-08,80,32.9125,1.9625,28.5,2.625,45,7,2,54.25,3.125,11.5,28.25,0.058672533920058674,0.8659323965058868,1.337579617834395,0.5253456221198156,0.84,1.008849557522124
Burkina Faso,-,889,53,41.0,4.0,2020-03-10,76,10.394736842105264,0.6447368421052632,5.25,0.0,33,1,58,11.375,1.125,5.25,22.75,0.05961754780652419,0.5050632911392405,0.0,0.46153846153846156,0.0,0.23076923076923078
Burma,-,242,6,17.0,1.0,2020-03-27,50,2.88,0.02,2.25,0.0,9,5,46,3.125,0.125,3.375,8.2,0.024793388429752067,0.78125,0.0,0.72,0.0,0.27439024390243905
Cabo Verde,-,554,5,34.0,1.0,2020-03-20,43,10.790697674418604,0.09302325581395349,16.625,0.125,3,38,37,18.25,0.25,5.333333333333333,8.857142857142858,0.009025270758122744,1.540678879310345,1.34375,0.910958904109589,0.5,1.877016129032258
Cambodia,-,126,0,4.0,0.0,2020-01-27,71,0.38028169014084506,0.0,0.125,0.0,66,1,57,2.5,0.0,0.125,1.0,0.0,0.3287037037037037,0.0,0.05,0.0,0.125
Cameroon,-,7908,212,603.0,44.0,2020-03-06,71,110.09859154929578,2.9577464788732395,250.5,2.625,3,32,18,244.5,6.25,54.375,186.0,0.02680829539706626,2.275233465523858,0.8875,1.0245398773006136,0.42,1.346774193548387
Canada,Alberta,7138,146,401.0,9.0,2020-03-06,81,86.93827160493827,1.8024691358024691,18.25,0.375,52,3,40,121.75,3.875,17.875,258.75,0.020453908657887362,0.20991905708605513,0.20804794520547945,0.14989733059548255,0.0967741935483871,0.07053140096618357
Canada,British Columbia,2632,167,159.0,11.0,2020-01-28,84,30.464285714285715,1.9761904761904763,7.375,0.375,72,20,44,76.625,3.875,11.625,46.625,0.06344984802431611,0.24208675263774912,0.1897590361445783,0.09624796084828711,0.0967741935483871,0.1581769436997319
Canada,Manitoba,300,7,40.0,1.0,2020-03-13,69,3.028985507246377,0.08695652173913043,0.75,0.0,67,5,58,23.666666666666668,0.125,0.75,7.625,0.023333333333333334,0.24760765550239233,0.0,0.03169014084507042,0.0,0.09836065573770492
Canada,New Brunswick,137,1,5.0,1.0,2020-03-11,63,0.6190476190476191,0.015873015873015872,1.0,0.125,63,1,11,5.0,0.125,1.0,0.75,0.0072992700729927005,1.6153846153846154,7.875,0.2,1.0,1.3333333333333333
Canada,Newfoundland and Labrador,261,3,23.0,1.0,2020-03-15,73,2.4794520547945207,0.0410958904109589,0.0,0.0,68,11,59,15.5,0.25,0.125,7.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0
Canada,Nova Scotia,1059,61,65.0,6.0,2020-03-16,72,13.458333333333334,0.8472222222222222,0.375,0.125,59,1,46,26.75,1.875,0.375,34.75,0.05760151085930123,0.02786377708978328,0.14754098360655737,0.014018691588785047,0.06666666666666667,0.01079136690647482
Canada,Ontario,32096,2502,1393.0,120.0,2020-01-26,85,376.7529411764706,29.435294117647057,384.125,21.25,53,83,64,570.5,60.75,35.333333333333336,401.25,0.07795363908275174,1.0195673557332001,0.7219224620303757,0.6733128834355828,0.3497942386831276,0.9573208722741433
Canada,Quebec,52849,4978,2209.0,202.0,2020-02-28,81,651.2962962962963,61.46913580246913,274.75,67.375,36,80,64,1075.75,87.5,22.5,680.75,0.09419288917481883,0.42185100938299686,1.0960785298252662,0.2554032070648385,0.77,0.40359897172236503
Canada,Saskatchewan,650,11,39.0,2.0,2020-03-13,72,7.708333333333333,0.1527777777777778,0.625,0.125,72,2,35,39.0,0.375,1.125,14.25,0.016923076923076923,0.08108108108108109,0.8181818181818181,0.016025641025641024,0.3333333333333333,0.043859649122807015
Central African Republic,-,1634,5,163.0,2.0,2020-03-15,31,49.67741935483871,0.16129032258064516,84.0,0.5,3,18,24,87.0,0.375,36.625,25.875,0.0030599755201958386,1.690909090909091,3.1,0.9655172413793104,1.3333333333333333,3.246376811594203
Chad,-,837,69,83.0,10.0,2020-03-19,37,20.64864864864865,1.7297297297297298,9.75,0.5,32,1,23,30.0,3.6666666666666665,9.75,26.75,0.08243727598566308,0.4721858638743455,0.2890625,0.325,0.13636363636363638,0.3644859813084112
Chile,-,134150,1637,6405.0,96.0,2020-03-03,84,1596.142857142857,19.488095238095237,4911.5,80.0,1,82,14,4911.5,80.0,54.666666666666664,3777.0,0.012202758106597093,3.077105522241117,4.105070250458155,1.0,1.0,1.3003706645485835
China,Anhui,991,6,74.0,2.0,2020-01-22,132,6.9772727272727275,0.045454545454545456,0.0,0.0,122,60,131,58.125,0.375,0.125,41.0,0.006054490413723511,0.0,0.0,0.0,0.0,0.0
China,Beijing,594,9,29.0,2.0,2020-01-22,131,3.8396946564885495,0.061068702290076333,0.125,0.0,128,5,76,19.25,0.375,0.125,13.25,0.015151515151515152,0.032554671968190854,0.0,0.006493506493506494,0.0,0.009433962264150943
China,Chongqing,579,6,53.0,1.0,2020-01-22,133,3.789473684210526,0.045112781954887216,0.0,0.0,127,71,118,32.142857142857146,0.375,0.375,21.0,0.010362694300518135,0.0,0.0,0.0,0.0,0.0
China,Fujian,359,1,24.0,1.0,2020-01-22,130,2.1153846153846154,0.007692307692307693,0.125,0.0,128,2,119,20.0,0.125,0.125,12.75,0.002785515320334262,0.05909090909090909,0.0,0.00625,0.0,0.00980392156862745
China,Gansu,139,2,17.0,0.0,2020-01-23,95,0.5052631578947369,0.0,0.0,0.0,94,63,85,14.0,0.0,0.125,1.625,0.014388489208633094,0.0,0.0,0.0,0.0,0.0
China,Guangdong,1602,8,99.0,2.0,2020-01-22,134,11.373134328358208,0.05970149253731343,1.125,0.0,128,2,117,65.28571428571429,0.375,1.125,50.75,0.004993757802746567,0.09891732283464567,0.0,0.01723194748358862,0.0,0.022167487684729065
China,Guangxi,254,2,18.0,1.0,2020-01-22,128,1.3046875,0.015625,0.0,0.0,123,80,114,13.5,0.25,0.25,7.875,0.007874015748031496,0.0,0.0,0.0,0.0,0.0
China,Guizhou,147,2,18.0,1.0,2020-01-22,119,0.4117647058823529,0.008403361344537815,0.0,0.0,118,50,83,14.0,0.125,0.125,0.125,0.013605442176870748,0.0,0.0,0.0,0.0,0.0
China,Hainan,170,6,13.0,1.0,2020-01-22,123,0.5772357723577236,0.04065040650406504,0.125,0.0,117,2,24,8.285714285714286,0.125,0.125,0.125,0.03529411764705882,0.21654929577464788,0.0,0.015086206896551723,0.0,1.0
China,Hebei,328,6,23.0,1.0,2020-01-22,127,1.8267716535433072,0.03937007874015748,0.0,0.0,121,53,111,14.142857142857142,0.375,0.125,11.0,0.018292682926829267,0.0,0.0,0.0,0.0,0.0
China,Heilongjiang,947,13,79.0,2.0,2020-01-23,126,6.761904761904762,0.0873015873015873,0.25,0.0,55,29,122,36.875,1.0,0.125,36.4,0.013727560718057022,0.03697183098591549,0.0,0.006779661016949152,0.0,0.006868131868131868
China,Henan,1276,22,109.0,3.0,2020-01-22,133,8.969924812030076,0.15789473684210525,0.0,0.0,125,71,116,68.375,1.625,0.375,50.625,0.017241379310344827,0.0,0.0,0.0,0.0,0.0
China,Hong Kong,1106,4,80.0,1.0,2020-01-23,98,10.306122448979592,0.02040816326530612,3.0,0.0,71,1,80,46.0,0.25,3.0,15.875,0.003616636528028933,0.2910891089108911,0.0,0.06521739130434782,0.0,0.1889763779527559
China,Hubei,68135,4512,14840.0,1290.0,2020-01-22,138,490.5144927536232,32.572463768115945,0.0,0.0,116,21,127,3567.625,162.125,0.125,1302.0,0.06622147207749321,0.0,0.0,0.0,0.0,0.0
China,Hunan,1019,4,78.0,1.0,2020-01-22,133,7.142857142857143,0.03007518796992481,0.0,0.0,131,67,122,50.666666666666664,0.375,0.125,61.875,0.003925417075564278,0.0,0.0,0.0,0.0,0.0
China,Inner Mongolia,235,1,34.0,0.0,2020-01-24,69,2.0,0.0,0.375,0.0,57,17,69,9.0,0.0,1.0,10.0,0.00425531914893617,0.1875,0.0,0.041666666666666664,0.0,0.0375
China,Jiangsu,653,0,39.0,0.0,2020-01-22,130,4.2615384615384615,0.0,0.0,0.0,129,57,120,34.5,0.0,0.25,33.25,0.0,0.0,0.0,0.0,0.0,0.0
China,Jiangxi,932,1,85.0,1.0,2020-01-22,132,6.553030303030303,0.007575757575757576,0.0,0.0,125,71,116,50.5,0.125,0.25,40.5,0.001072961373390558,0.0,0.0,0.0,0.0,0.0
China,Jilin,155,2,11.0,1.0,2020-01-23,56,1.0,0.017857142857142856,0.0,0.0,30,16,21,1.5,0.125,1.875,3.0,0.012903225806451613,0.0,0.0,0.0,0.0,0.0
China,Liaoning,149,2,6.0,1.0,2020-01-22,121,0.4132231404958678,0.01652892561983471,0.0,0.0,121,29,72,6.0,0.125,0.125,0.75,0.013422818791946308,0.0,0.0,0.0,0.0,0.0
China,Shaanxi,311,3,23.0,1.0,2020-01-23,128,1.75,0.0234375,0.375,0.0,124,7,48,15.6,0.25,0.125,2.625,0.00964630225080386,0.21428571428571427,0.0,0.02403846153846154,0.0,0.14285714285714285
China,Shandong,792,7,203.0,1.0,2020-01-22,131,5.320610687022901,0.05343511450381679,0.0,0.0,108,36,123,30.0,0.125,0.125,27.125,0.008838383838383838,0.0,0.0,0.0,0.0,0.0
China,Shanghai,678,7,52.0,1.0,2020-01-22,130,4.476923076923077,0.046153846153846156,0.75,0.0,57,1,128,9.75,0.25,0.75,24.333333333333332,0.01032448377581121,0.16752577319587628,0.0,0.07692307692307693,0.0,0.03082191780821918
China,Shanxi,198,0,25.0,0.0,2020-01-22,122,0.8360655737704918,0.0,0.0,0.0,61,36,121,3.375,0.0,0.125,9.5,0.0,0.0,0.0,0.0,0.0,0.0
China,Sichuan,581,3,35.0,2.0,2020-01-22,131,3.7480916030534353,0.022900763358778626,2.125,0.0,129,4,120,29.0,0.25,1.75,22.375,0.0051635111876075735,0.5669551934826884,0.0,0.07327586206896551,0.0,0.09497206703910614
China,Tianjin,193,3,11.0,1.0,2020-01-22,118,0.8305084745762712,0.01694915254237288,0.125,0.0,118,2,70,11.0,0.6666666666666666,0.125,4.625,0.015544041450777202,0.15051020408163265,0.0,0.011363636363636364,0.0,0.02702702702702703
China,Yunnan,185,2,12.0,1.0,2020-01-22,127,0.7244094488188977,0.015748031496062992,0.0,0.0,126,45,115,12.0,0.25,0.125,3.625,0.010810810810810811,0.0,0.0,0.0,0.0,0.0
China,Zhejiang,1268,1,132.0,1.0,2020-01-22,134,9.0,0.007462686567164179,0.0,0.0,130,54,121,73.2,0.125,0.375,63.75,0.0007886435331230284,0.0,0.0,0.0,0.0,0.0
Colombia,-,38149,1265,3293.0,105.0,2020-03-06,81,469.82716049382714,15.617283950617283,1426.875,46.75,3,81,12,1577.25,46.375,9.0,896.125,0.03315945372093633,3.037021100483498,2.9934782608695656,0.9046600095102235,1.0080862533692723,1.5922722834426002
Congo (Brazzaville),-,683,22,84.0,4.0,2020-03-15,54,11.537037037037036,0.3148148148148148,14.0,0.375,12,48,28,18.875,0.625,15.0,13.0,0.032210834553440704,1.2134831460674158,1.1911764705882353,0.7417218543046358,0.6,1.0769230769230769
Congo (Kinshasa),-,4016,85,173.0,11.0,2020-03-11,68,57.61764705882353,1.1323529411764706,131.25,2.0,10,56,23,124.75,2.75,10.125,64.75,0.021165338645418325,2.277947932618683,1.7662337662337664,1.0521042084168337,0.7272727272727273,2.027027027027027
Costa Rica,-,1318,10,55.0,1.0,2020-03-06,79,15.556962025316455,0.11392405063291139,33.875,0.0,1,45,60,33.875,0.5,5.625,20.5,0.007587253414264037,2.177481692432872,0.0,1.0,0.0,1.6524390243902438
Cote d'Ivoire,-,3739,36,182.0,4.0,2020-03-11,73,49.9041095890411,0.4931506849315068,117.5,0.375,1,70,27,117.5,0.875,18.0,53.125,0.009628242845680663,2.3545155091957177,0.7604166666666667,1.0,0.42857142857142855,2.211764705882353
Croatia,-,2247,104,96.0,8.0,2020-02-25,81,26.74074074074074,1.2839506172839505,0.125,0.125,68,4,59,72.625,3.25,0.375,60.5,0.046283934134401426,0.004674515235457064,0.09735576923076923,0.0017211703958691911,0.038461538461538464,0.002066115702479339
Cuba,-,2191,83,74.0,6.0,2020-03-12,72,29.319444444444443,1.125,20.75,0.0,37,14,51,40.75,2.75,9.375,52.75,0.03788224554997718,0.7077214590241592,0.0,0.50920245398773,0.0,0.3933649289099526
Cyprus,-,964,18,58.0,2.0,2020-03-09,77,11.285714285714286,0.24675324675324675,2.5,0.125,68,10,55,24.5,0.75,2.375,28.75,0.01867219917012448,0.22151898734177214,0.506578947368421,0.10204081632653061,0.16666666666666666,0.08695652173913043
Czechia,-,9628,327,381.0,18.0,2020-03-01,87,109.58620689655173,3.7701149425287355,49.75,1.0,65,30,74,274.125,10.375,44.75,182.625,0.033963439966763605,0.453980490874764,0.2652439024390244,0.18148654810761514,0.0963855421686747,0.2724161533196441
Denmark,-,11948,589,390.0,22.0,2020-02-27,90,131.75555555555556,6.611111111111111,39.375,2.25,62,1,44,311.75,13.625,39.375,171.5,0.049296953465015066,0.29884887839433294,0.3403361344537815,0.12630312750601444,0.1651376146788991,0.22959183673469388
Denmark,Faroe Islands,187,0,23.0,0.0,2020-03-04,78,1.2179487179487178,0.0,0.0,0.0,78,50,68,23.0,0.0,0.125,6.375,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,-,4207,28,280.0,4.0,2020-03-18,61,67.49180327868852,0.45901639344262296,126.625,0.75,9,31,18,115.5,1.375,5.75,97.375,0.0066555740432612314,1.8761537527325722,1.6339285714285714,1.0963203463203464,0.5454545454545454,1.300385109114249
Dominican Republic,-,19600,538,506.0,38.0,2020-03-01,79,247.18987341772151,6.784810126582278,336.5,5.0,30,79,20,324.25,13.125,40.0,323.625,0.027448979591836734,1.361301720606309,0.7369402985074627,1.0377794911333846,0.38095238095238093,1.0397837002703747
Ecuador,-,43120,3621,11536.0,410.0,2020-03-01,82,563.109756097561,44.13414634146341,568.625,35.875,45,25,35,1811.75,94.5,216.75,1145.25,0.08397495361781077,1.009794260963725,0.812862669245648,0.31385400855526424,0.37962962962962965,0.4965073128137961
Egypt,-,34079,1237,1536.0,47.0,2020-02-14,86,395.33720930232556,14.36046511627907,1328.75,40.5,8,85,17,1059.0,33.625,15.0,619.625,0.03629801343936148,3.361054736904027,2.820242914979757,1.254721435316336,1.204460966542751,2.14444220294533
El Salvador,-,3015,53,122.0,4.0,2020-03-19,60,48.7,0.8,77.5,0.875,8,58,29,87.25,1.625,8.333333333333334,55.375,0.017578772802653398,1.5913757700205338,1.09375,0.8882521489971347,0.5384615384615384,1.399548532731377
Equatorial Guinea,-,1306,12,263.0,3.0,2020-03-15,45,27.155555555555555,0.24444444444444444,0.0,0.0,10,24,45,50.375,0.5,19.375,130.0,0.009188361408882083,0.0,0.0,0.0,0.0,0.0
Estonia,-,1939,69,134.0,6.0,2020-02-27,86,21.627906976744185,0.8023255813953488,9.25,0.25,74,7,65,35.0,1.25,5.875,58.0,0.03558535327488396,0.42768817204301074,0.3115942028985507,0.2642857142857143,0.2,0.15948275862068967
Eswatini,-,333,3,30.0,1.0,2020-03-14,39,6.205128205128205,0.05128205128205128,6.25,0.125,32,5,2,7.75,0.125,4.25,5.375,0.009009009009009009,1.0072314049586777,2.4375,0.8064516129032258,1.0,1.1627906976744187
